Time,X(CH1),
Second,Volt,
2.5599992e-01,2.39999e-04,
2.5699991e-01,-9.31323e-10,
2.5799990e-01,1.59999e-04,
2.5899988e-01,-8.00006e-05,
2.5999987e-01,2.39999e-04,
2.6099986e-01,-8.00006e-05,
2.6199985e-01,2.39999e-04,
2.6299983e-01,-9.31323e-10,
2.6399982e-01,-9.31323e-10,
2.6499981e-01,3.19999e-04,
2.6599979e-01,2.39999e-04,
2.6699978e-01,-9.31323e-10,
2.6799977e-01,7.99987e-05,
2.6899976e-01,3.19999e-04,
2.6999974e-01,3.19999e-04,
2.7099973e-01,7.99987e-05,
2.7199972e-01,1.59999e-04,
2.7299970e-01,3.19999e-04,
2.7399969e-01,3.19999e-04,
2.7499968e-01,7.99987e-05,
2.7599967e-01,1.59999e-04,
2.7699965e-01,3.99999e-04,
2.7799964e-01,7.99987e-05,
2.7899963e-01,4.79999e-04,
2.7999961e-01,1.59999e-04,
2.8099960e-01,4.79999e-04,
2.8199959e-01,2.39999e-04,
2.8299958e-01,4.79999e-04,
2.8399956e-01,1.59999e-04,
2.8499955e-01,4.79999e-04,
2.8599954e-01,2.39999e-04,
2.8699952e-01,5.60000e-04,
2.8799951e-01,2.39999e-04,
2.8899950e-01,4.79999e-04,
2.8999949e-01,2.39999e-04,
2.9099947e-01,5.60000e-04,
2.9199946e-01,2.39999e-04,
2.9299945e-01,6.39999e-04,
2.9399943e-01,3.19999e-04,
2.9499942e-01,5.60000e-04,
2.9599941e-01,3.19999e-04,
2.9699939e-01,5.60000e-04,
2.9799938e-01,3.19999e-04,
2.9899937e-01,5.60000e-04,
